Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
AD,NiP,Unavailable,Unavailable,Unavailable,CS: GO,Best of 3,35%,65%,CSGOL,1
VG,AD,Unavailable,Unavailable,VG,CS: GO,Best of 5,52%,48%,CSGOL,2
Serbia,Portugal,Unavailable,Unavailable,Serbia,CS: GO,Best of 1,52%,48%,CSGOL,3
Portugal,Netherlands,Unavailable,Unavailable,Netherlands,CS: GO,Best of 1,73%,27%,CSGOL,4
B&H,Czech.R,Unavailable,Unavailable,B&H,CS: GO,Best of 1,32%,68%,CSGOL,5
DP,Ducks,Unavailable,Unavailable,Ducks,CS: GO,Best of 1,33%,67%,CSGOL,6
NiP,Na'Vi,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,74%,26%,CSGOL,7
VG,F4G,Unavailable,Unavailable,VG,CS: GO,Best of 1,93%,8%,CSGOL,8
nfaculty,BZSX,Unavailable,Unavailable,BZSX,CS: GO,Best of 1,85%,15%,CSGOL,9
Na'Vi,nfaculty,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,68%,32%,CSGOL,10
UK,Norway,Unavailable,Unavailable,UK,CS: GO,Best of 1,71%,29%,CSGOL,11
Portugal,UK,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,23%,77%,CSGOL,12
WGG,VG,Unavailable,Unavailable,VG,CS: GO,Best of 3,14%,86%,CSGOL,13
Spain,Czech.R,Unavailable,Unavailable,Spain,CS: GO,Best of 1,36%,64%,CSGOL,14
France,Ukraine,Unavailable,Unavailable,France,CS: GO,Best of 1,58%,42%,CSGOL,15
France,CH,Unavailable,Unavailable,France,CS: GO,Best of 1,80%,20%,CSGOL,16
Denmark,Turkey,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,75%,25%,CSGOL,17
CPH.W,AD,Unavailable,Unavailable,CPH.W,CS: GO,Best of 1,23%,77%,CSGOL,18
Ence,CPH.W,Unavailable,Unavailable,CPH.W,CS: GO,Best of 1,25%,75%,CSGOL,19
VG,AD,Unavailable,Unavailable,VG,CS: GO,Best of 1,64%,36%,CSGOL,20
AD,CPH.W,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,82%,18%,CSGOL,21
VG,Ence,Unavailable,Unavailable,VG,CS: GO,Best of 1,87%,13%,CSGOL,22
US,CPH.W,Unavailable,Unavailable,US,CS: GO,Best of 1,23%,77%,CSGOL,23
nfaculty,Na'Vi,Unavailable,Unavailable,nfaculty,CS: GO,Best of 1,40%,60%,CSGOL,24
Na'Vi,VG,Unavailable,Unavailable,VG,CS: GO,Best of 1,25%,75%,CSGOL,25
SK,nfaculty,Unavailable,Unavailable,SK,CS: GO,Best of 1,60%,40%,CSGOL,26
AD,SK,Unavailable,Unavailable,AD,CS: GO,Best of 1,60%,40%,CSGOL,27
Slovakia,Latvia,Unavailable,Unavailable,Slovakia,CS: GO,Best of 1,72%,28%,CSGOL,28
U5,FG,Unavailable,Unavailable,FG,CS: GO,Best of 1,61%,39%,CSGOL,29
SK,VG,Unavailable,Unavailable,VG,CS: GO,Best of 1,20%,80%,CSGOL,30
Na'Vi,SK,Unavailable,Unavailable,SK,CS: GO,Best of 1,43%,57%,CSGOL,31
Germany,KZ,Unavailable,Unavailable,Germany,CS: GO,Best of 1,71%,29%,CSGOL,32
Germany,France,Unavailable,Unavailable,France,CS: GO,Best of 1,28%,72%,CSGOL,33
Sweden,Norway,Unavailable,Unavailable,Sweden,CS: GO,Best of 1,88%,12%,CSGOL,34
B&H,Spain,Unavailable,Unavailable,B&H,CS: GO,Best of 1,38%,62%,CSGOL,35
Slovakia,Belgium,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,26%,74%,CSGOL,36
France,Italy,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,89%,11%,CSGOL,37
VG,Fnatic.eu,Unavailable,Unavailable,VG,CS: GO,Best of 1,82%,18%,CSGOL,38
CPH.W,nfaculty,Unavailable,Unavailable,CPH.W,CS: GO,Best of 1,62%,38%,CSGOL,39
NiP,mouz,Unavailable,Unavailable,NiP,CS: GO,Best of 1,86%,14%,CSGOL,40
Na'Vi,US,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 1,60%,40%,CSGOL,41
Fnatic.eu,nfaculty,Unavailable,Unavailable,Fnatic.eu,CS: GO,Best of 1,82%,18%,CSGOL,42
CPH.W,Fnatic.eu,Unavailable,Unavailable,CPH.W,CS: GO,Best of 1,37%,63%,CSGOL,43
Error,Error,Unavailable,Unavailable,Error,CS: GO,Error,Error,Error,CSGOL,44
mouz,US,Unavailable,Unavailable,US,CS: GO,Best of 1,28%,72%,CSGOL,45
NiP,Na'Vi,Unavailable,Unavailable,NiP,CS: GO,Best of 1,81%,19%,CSGOL,46
US,Na'Vi,Unavailable,Unavailable,US,CS: GO,Best of 1,41%,59%,CSGOL,47
US,VG,Unavailable,Unavailable,VG,CS: GO,Best of 3,21%,79%,CSGOL,48
NiP,CPH.W,Unavailable,Unavailable,NiP,CS: GO,Best of 3,84%,16%,CSGOL,49
VG,NiP,Unavailable,Unavailable,VG,CS: GO,Best of 3,47%,53%,CSGOL,50
LGB,AD,Unavailable,Unavailable,AD,CS: GO,Best of 1,30%,70%,CSGOL,51
WGG,WM,Unavailable,Unavailable,WGG,CS: GO,Best of 1,75%,25%,CSGOL,52
Mystik,VG,Unavailable,Unavailable,VG,CS: GO,Best of 1,11%,89%,CSGOL,53
3DMAX,US,Unavailable,Unavailable,3DMAX,CS: GO,Best of 3,19%,81%,CSGOL,54
NiP,Agent,Unavailable,Unavailable,NiP,CS: GO,Best of 1,91%,9%,CSGOL,55
Ence,FM,Unavailable,Unavailable,FM,CS: GO,Best of 1,68%,32%,CSGOL,56
FM,NiP,Unavailable,Unavailable,NiP,CS: GO,Best of 1,7%,93%,CSGOL,57
Agent,Ence,Unavailable,Unavailable,Ence,CS: GO,Best of 1,30%,70%,CSGOL,58
NiP,Ence,Unavailable,Unavailable,NiP,CS: GO,Best of 1,93%,7%,CSGOL,59
FM,Agent,Unavailable,Unavailable,FM,CS: GO,Best of 1,67%,33%,CSGOL,60
AD,ATN,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,83%,17%,CSGOL,61
