Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
Millenium,fnatic,inferno,5:25 (4:11) (1:14),fnatic,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,1
n!faculty,mTw,dust2,11:19 (7:8) (4:11),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,2
fnatic,mTw,inferno,10:20 (3:12) (7:8),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,3
mTw,PlayZeek,dust2,20:10 (8:7) (12:3),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,4
SK Gaming,mousesports,inferno,11:19 (10:5) (1:14),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,5
PlayZeek,Millenium,dust2,20:10 (7:8) (13:2),PlayZeek,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,6
SK Gaming,Fx,nuke,22:8 (10:5) (12:3),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,7
Millenium,mTw,tuscan,11:19 (6:9) (5:10),mTw,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,8
PlayZeek,Blank,nuke,17:13 (10:5) (7:8),PlayZeek,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,9
Alternate,mousesports,nuke,16:14 (10:5) (6:9),Alternate,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,10
mousesports,Power Gaming,inferno,10:20 (5:10) (5:10),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,11
ex-oXmoze,mousesports,inferno,19:11 (8:7) (11:4),ex-oXmoze,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,12
Fx,Power Gaming,nuke,19:11 (9:6) (10:5),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,13
ex-oXmoze,SK Gaming,inferno,7:23 (3:12) (4:11),SK Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,14
ex-oXmoze,Fx,train,14:16 (5:10) (9:6),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,15
mousesports,Fx,inferno,18:12 (5:10) (13:2),mousesports,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,16
Alternate,Fx,inferno,14:16 (10:5) (4:11),Fx,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,17
ex-oXmoze,Alternate,dust2,12:18 (5:10) (7:8),Alternate,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,18
SK Gaming,Power Gaming,train,15:15 (10:5) (5:10),Tie,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,19
Power Gaming,ex-oXmoze,train,20:10 (12:3) (8:7),Power Gaming,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,20
Blank,Millenium,train,27:3 (13:2) (14:1),Blank,CS 1.6,Unavailable,Unavailable,Unavailable,HLTV,21
