Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
NiP,PRiME,inferno_se,16:3 (12:3) (4:0),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12838
NiP,PRiME,mirage_ce,16:1 (14:1) (2:0),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12839
Blight Gaming,fm-eSports,inferno_se,16:2 (13:2) (3:0),Blight Gaming,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12840
fm-eSports,Blight Gaming,dust2_se,7:16 (7:8) (0:8),Blight Gaming,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12841
NiP,VeryGames,nuke_se,16:10 (12:3) (4:7),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12848
VeryGames,NiP,train_se,12:16 (8:7) (4:9),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12849
VeryGames,DN-Gaming,dust2_se,16:0 (15:0) (1:0),VeryGames,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12853
ASES,k1ck,dust2_se,9:16 (7:8) (2:8),k1ck,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12854
ASES,DN-Gaming,mirage_ce,16:13 (8:7) (8:6),ASES,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12855
VeryGames,k1ck,mirage_ce,16:3 (12:3) (4:0),VeryGames,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12856
k1ck,DN-Gaming,nuke_se,16:1 (14:1) (2:0),k1ck,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12857
VeryGames,ASES,nuke_se,15:15 (6:9) (9:6),Tie,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12858
34united,x6tence,mirage_ce,9:16 (6:9) (3:7),x6tence,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12859
NiP,bemyfRAG,mirage_ce,16:1 (14:1) (2:0),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12860
NiP,x6tence,nuke_se,16:7 (12:3) (4:4),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12861
bemyfRAG,34united,nuke_se,7:16 (6:9) (1:7),34united,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12862
x6tence,VeryGames,nuke_se,4:16 (3:12) (1:4),VeryGames,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12863
x6tence,VeryGames,inferno_se,2:16 (2:13) (0:3),VeryGames,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12864
NiP,k1ck,inferno_se,16:9 (10:5) (6:4),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12865
k1ck,NiP,nuke_se,4:16 (2:13) (2:3),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12866
bemyfRAG,x6tence,dust2_se,5:16 (3:12) (2:4),x6tence,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12867
NiP,34united,dust2_se,16:2 (13:2) (3:0),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12868
SFTO,dotpiXels,nuke_se,12:16 (7:8) (5:8),dotpiXels,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12963
n!faculty,CPLAY,nuke_se,16:4 (13:2) (3:2),n!faculty,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12964
logiX,mousesports,nuke_se,11:16 (6:9) (5:7),mousesports,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12965
ALTERNATE,Tt Dragons,nuke_se,16:7 (10:5) (6:2),ALTERNATE,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12966
iPLAY,Red Dead,nuke_se,11:16 (5:10) (6:6),Red Dead,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12967
ROCCAT,HastaLaVista,inferno_se,13:16 (12:3) (1:13),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12968
HastaLaVista,ROCCAT,train_se,16:9 (7:8) (9:1),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12969
Blight Gaming,ImmuNe,inferno_se,16:6 (11:4) (5:2),Blight Gaming,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12970
NiP,hiGhrollers,inferno_se,16:2 (13:2) (3:0),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12971
NiP,hiGhrollers,nuke_se,16:6 (13:2) (3:4),NiP,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12972
HastaLaVista,Afterlife Gaming,dust2_se,16:14 (7:8) (9:6),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12973
HastaLaVista,Afterlife Gaming,nuke_se,16:4 (11:4) (5:0),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12974
ROCCAT,Lions,dust2_se,22:20 (9:6) (6:9) (7:5),ROCCAT,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12975
hiGhrollers,Paranoia,nuke_se,16:8 (14:1) (2:7),hiGhrollers,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12976
Publiclir.se,ImmuNe,nuke_se,10:16 (5:10) (5:6),ImmuNe,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12977
Publiclir.se,ImmuNe,mirage_ce,16:10 (10:5) (6:5),Publiclir.se,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12978
mTw,SFTO,dust2_se,16:11 (8:7) (8:4),mTw,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12979
WinFakt,HastaLaVista,inferno_se,8:16 (5:10) (3:6),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12980
WinFakt,HastaLaVista,nuke_se,14:16 (7:8) (7:8),HastaLaVista,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12981
logiX,mousesports,dust2_se,0:16 (0:15) (0:1),mousesports,CS: GO,Unavailable,Unavailable,Unavailable,HLTV,12983
